id,source,subject,from
b'7678',,"Вакансия на должность «Business Analyst Intern - Kiev» в компании McKinsey & Company и ещё 9 вакансий, которые могут Вас заинтересовать.",LinkedIn <jobs-listings@linkedin.com>
b'7679',,How to Negotiate Your Salary,Glassdoor Jobs <info@mail.glassdoor.com>
b'7680',,5 новых вакансий «Junior Data Analyst» в Киеве,"""Work.ua"" <website@work.ua>"
b'7681',,🎒🔝 Топ-товары Первоклассной распродажи,ROZETKA <bestdeal@rozetka.com.ua>
b'7682',,"PHP, Junior PHP developer (Киев) (новые вакансии за 06.08.2019)","""rabota.ua"" <noreply@rabota.ua>"
b'7683',,Подходящие вакансии ,HeadHunter <no_reply@hh.ua>
b'7684',,"DOU Daily: работа ученого в США и Европе, руководство для Manual QA, дополнительный зароботок",DOU <support@dou.ua>
b'7685',,"Ваше резюме успешно доставлено в компанию ""Genesis"" на вакансию ""Data Analyst""","""rabota.ua"" <noreply@rabota.ua>"
b'7686',,Ваше резюме успешно доставлено в компанию «Genesis»,"""rabota.ua"" <noreply@rabota.ua>"
b'7687',,Компания Genesis просмотрела ваш отклик на вакансию ,"""rabota.ua"" <noreply@rabota.ua>"
b'7688',,Ваше резюме успешно доставлено в компанию «IT-Star»,"""rabota.ua"" <noreply@rabota.ua>"
b'7689',,"Ваше резюме успешно доставлено в компанию ""IT-Star"" на вакансию ""Junior Data Analyst""","""rabota.ua"" <noreply@rabota.ua>"
b'7690',,Ваше резюме успешно доставлено в компанию «AGAMA communications»,"""rabota.ua"" <noreply@rabota.ua>"
b'7691',,Компания AGAMA communications просмотрела ваш отклик на вакансию ,"""rabota.ua"" <noreply@rabota.ua>"
b'7692',,"Tamara, добавьте меня в свою сеть контактов в LinkedIn!",Yulia Horska <invitations@linkedin.com>
b'7693',,Поздравьте участника Hanna Yankina с...,LinkedIn <notifications-noreply@linkedin.com>
b'7694',,📚✏️ Распродажа продолжается. Хиты продаж до -60%,ROZETKA <bestdeal@rozetka.com.ua>
b'7695',,Сукні від 60 грн😍Кросівки для жінок та чоловіків від 225 грн⚡️,Kasta <modnakasta@mailman.modnakasta.ua>
b'7696',,Запрошуємо на Дні відкритих дверей у Києві!,STUDY Academy <newslist@obuchenie.com.ua>
b'7697',, ➡ Вигода до -50% на товари для школи!,"""27.ua інтернет-гіпермаркет"" <promo@e-mail.27.ua>"
b'7698',,"Вакансия на должность «Фахівець з моніторингу» в компании Київстар и ещё 9 вакансий, которые могут Вас заинтересовать.",LinkedIn <jobs-listings@linkedin.com>
b'7699',,Орк-подкастер только что добавил(а) видео,YouTube <noreply@youtube.com>
b'7700',,Live Astronomy Q&A Session Friday August 9th at 1PM,"""Astronomy: Exploring Time and Space Course Team"" <no-reply@t.mail.coursera.org>"
b'7701',,"5 блогов, на которые стоит подписаться",Tumblr <no-reply@tumblr.com>
b'7702',,"Your new job, within reach",Glassdoor Jobs <info@mail.glassdoor.com>
b'7703',,12 новых вакансий «Junior Data Analyst» в Киеве,"""Work.ua"" <website@work.ua>"
b'7704',,"Tamara, посмотрите, кого Вы уже знаете в LinkedIn",Контакты  в LinkedIn <messages-noreply@linkedin.com>
b'7705',,"Прощайте, затратные банковские переводы...",Payoneer <email@payoneer.com>
b'7706',,"Tamara, Вы знакомы с участником Sevil Suleimanova?",LinkedIn <messages-noreply@linkedin.com>
b'7707',,"Python, Middle Python, Junior python (Киев) (новые вакансии за 07.08.2019)","""rabota.ua"" <noreply@rabota.ua>"
b'7708',,Data analyst (Киев) (новые вакансии за 07.08.2019),"""rabota.ua"" <noreply@rabota.ua>"
b'7709',,BI Developer (Киев) (новые вакансии за 07.08.2019),"""rabota.ua"" <noreply@rabota.ua>"
b'7710',,"🔥💣 Распродажа в разгаре! Не пропустите, большинство товаров уже раскупили",ROZETKA <bestdeal@rozetka.com.ua>
b'7711',,R developer (Киев) (новые вакансии за 07.08.2019),"""rabota.ua"" <noreply@rabota.ua>"
b'7712',,"PHP, Junior PHP developer (Киев) (новые вакансии за 07.08.2019)","""rabota.ua"" <noreply@rabota.ua>"
b'7713',,Обновите резюме — появились новые вакансии!,HeadHunter <no_reply@hh.ua>
b'7714',,"DOU Daily: экскурсии как хобби, дизайн для разработки, проект на Svelte",DOU <support@dou.ua>
b'7715',,Приглашение на собеседование от Appflame,Appflame Hiring Team <hiring@appflame.com>
b'7716',, ➡ Вигода до -50% на товари для відпочинку!,"""27.ua інтернет-гіпермаркет"" <promo@e-mail.27.ua>"
b'7717',,👍 Встречайте! Самые популярные товары в разгар распродажи,ROZETKA <bestdeal@rozetka.com.ua>
b'7718',,🎁 Дарим подарочки за ваши ответы!,"""Shafa.ua"" <hello@shafa.com.ua>"
b'7719',,"Tamara, люди интересуются Вашим профилем в LinkedIn.",LinkedIn <messages-noreply@linkedin.com>
b'7720',,ТОП речей для відпустки ➡️,Kasta <modnakasta@mailman.modnakasta.ua>
b'7721',,Эти вакансии вас могут заинтересовать!,"""rabota.ua"" <noreply@rabota.ua>"
b'7722',,"Распродажи недели: рубашка F&F за 120 грн, кардиган Warehouse за 400 грн + 995 вещей со скидками","""Shafa.ua"" <hello@shafa.com.ua>"
b'7723',,11 новых вакансий «Junior Data Analyst» в Киеве,"""Work.ua"" <website@work.ua>"
b'7724',,What Makes a Top Job Candidate?,Glassdoor Jobs <info@mail.glassdoor.com>
b'7725',,"Python, Middle Python, Junior python (Киев) (новые вакансии за 08.08.2019)","""rabota.ua"" <noreply@rabota.ua>"
b'7726',,R developer (Киев) (новые вакансии за 08.08.2019),"""rabota.ua"" <noreply@rabota.ua>"
b'7727',,"PHP, Junior PHP developer (Киев) (новые вакансии за 08.08.2019)","""rabota.ua"" <noreply@rabota.ua>"
b'7728',,BI Developer (Киев) (новые вакансии за 08.08.2019),"""rabota.ua"" <noreply@rabota.ua>"
b'7729',,⏳ Распродажа вот-вот завершится! Скидки до 60% на последние товары,ROZETKA <bestdeal@rozetka.com.ua>
b'7730',,Data analyst (Киев) (новые вакансии за 08.08.2019),"""rabota.ua"" <noreply@rabota.ua>"
b'7731',,Ваш профиль появлялся в результатах поиска 12 раз на этой неделе,LinkedIn <notifications-noreply@linkedin.com>
b'7732',,"DOU Daily: совместное написание писем в Spark, диаграмма Сэнки, роли в команде",DOU <support@dou.ua>
b'7733',,"Скидки на товары из категорий, которые вы смотрели! Перейти к акциям→",ROZETKA <bestdeal@rozetka.com.ua>
b'7734',,"👍 Топовые товары в финале распродажи! Предложения, которые невозможно пропустить",ROZETKA <bestdeal@rozetka.com.ua>
b'7735',,Все для твого тренування😍 До -60% на спортивні товари,Kasta <modnakasta@mailman.modnakasta.ua>
b'7736',, ➡ 🌳 Вигода до -20% на покриття для підлоги!,"""27.ua інтернет-гіпермаркет"" <promo@e-mail.27.ua>"
b'7737',,🌴 Кто еще не успел отдохнуть? Самое время! [Детали акции внутри],"""Shafa.ua"" <hello@shafa.com.ua>"
b'7738',,Так. Він існує...,Comfy <comfy@mailersend.comfy.ua>
b'7739',,"Tamara, пригласите друга и получите 25 долларов США!",Payoneer <email@payoneer.com>
b'7740',,9 новых вакансий «Junior Data Analyst» в Киеве,"""Work.ua"" <website@work.ua>"
b'7741',,"Python, Middle Python, Junior python (Киев) (новые вакансии за 09.08.2019)","""rabota.ua"" <noreply@rabota.ua>"
b'7742',,Data analyst (Киев) (новые вакансии за 09.08.2019),"""rabota.ua"" <noreply@rabota.ua>"
b'7743',,BI Developer (Киев) (новые вакансии за 09.08.2019),"""rabota.ua"" <noreply@rabota.ua>"
b'7744',,"PHP, Junior PHP developer (Киев) (новые вакансии за 09.08.2019)","""rabota.ua"" <noreply@rabota.ua>"
b'7745',,R developer (Киев) (новые вакансии за 09.08.2019),"""rabota.ua"" <noreply@rabota.ua>"
b'7746',,"DOU Daily: Ruby/Rails дайджест, материалы для junior  Ruby, влияет ли программирование на мозг",DOU <support@dou.ua>
b'7747',,Топова косметика для твоєї косметички🌸,Kasta <modnakasta@mailman.modnakasta.ua>
b'7748',, ➡ 🔥 Вигода до -55% до Дня народження!,"""27.ua інтернет-гіпермаркет"" <promo@e-mail.27.ua>"
b'7749',, ➡ 🔥 Вигода до -65% на освітлення!,"""27.ua інтернет-гіпермаркет"" <promo@e-mail.27.ua>"
b'7750',,"Python, Middle Python, Junior python (Киев) (новые вакансии за 10.08.2019)","""rabota.ua"" <noreply@rabota.ua>"
b'7751',,Your Top Job Matches,Glassdoor Jobs <info@mail.glassdoor.com>
b'7752',,"
    slitwristsandbonghits теперь читает ваш блог

",Tumblr <no-reply@tumblr.com>
b'7753',,John Fidget хочет стать вашим другом на Facebook,Facebook <notification@facebookmail.com>
b'7754',,"ANNIVERSARY OFFER: Once a Year Exclusive! Less than $ 1.15/Month, Embrace Cloud Storage Now!",ASUS WebStorage <service@asuswebstorage.com>
b'7755',,20+ новых вакансий «Junior Data Analyst» в Киеве за неделю,"""Work.ua"" <website@work.ua>"
b'7756',,BI Developer (Киев): Еженедельный дайджест вакансий за 04.08.2019 - 11.08.2019,"""rabota.ua"" <noreply@rabota.ua>"
b'7757',,"Python, Middle Python, Junior python (Киев): Еженедельный дайджест вакансий за 04.08.2019 - 11.08.2019","""rabota.ua"" <noreply@rabota.ua>"
b'7758',,R developer (Киев): Еженедельный дайджест вакансий за 04.08.2019 - 11.08.2019,"""rabota.ua"" <noreply@rabota.ua>"
b'7759',,"PHP, Junior PHP developer (Киев): Еженедельный дайджест вакансий за 04.08.2019 - 11.08.2019","""rabota.ua"" <noreply@rabota.ua>"
b'7760',,Data analyst (Киев): Еженедельный дайджест вакансий за 04.08.2019 - 11.08.2019,"""rabota.ua"" <noreply@rabota.ua>"
b'7761',,Друга страва безкоштовно! ✅ Лише цього тижня! ,Uber Eats <uber.ukraine@uber.com>
b'7762',,DOU Daily: Топ-50 ІТ-компаний Украины за июль 2019,DOU <support@dou.ua>
b'7763',,Re: Тамара Урсол откликнулся на вакансию Data Scientist | DOU,Sofiya Koltun <sofiya.koltun@cloudmade.com>
b'7764',,Our Data Science Path just got a facelift,Codecademy <learn@codecademy.com>
b'7765',, ➡ 🎾 Вигода до -70% на товари для спорту!,"""27.ua інтернет-гіпермаркет"" <promo@e-mail.27.ua>"
b'7766',,99 грн і це максимум 🔥 Українські бренди до 99 грн на Kasta ➡️,Kasta <modnakasta@mailman.modnakasta.ua>
b'7767',,До -40% на цифрову та побутову техніку!,Comfy <comfy@mailersend.comfy.ua>
b'7768',,Programs you will love ❤️,edX <news@edx.org>
b'7769',,"Свитер Marks & Spencer за 99 грн, Пальто ZARA за 800 грн + 726 популярных вещей","""Shafa.ua"" <hello@shafa.com.ua>"
b'7770',,"Смотрите ещё вакансии, похожие на вакансию «Data Developer - Kiev» в компании Wix.com",LinkedIn <jobs-noreply@linkedin.com>
b'7771',,7 новых вакансий «Junior Data Analyst» в Киеве,"""Work.ua"" <website@work.ua>"
b'7772',,"PHP, Junior PHP developer (Киев) (новые вакансии за 12.08.2019)","""rabota.ua"" <noreply@rabota.ua>"
b'7773',,Data analyst (Киев) (новые вакансии за 12.08.2019),"""rabota.ua"" <noreply@rabota.ua>"
b'7774',,R developer (Киев) (новые вакансии за 12.08.2019),"""rabota.ua"" <noreply@rabota.ua>"
b'7775',,"Python, Middle Python, Junior python (Киев) (новые вакансии за 12.08.2019)","""rabota.ua"" <noreply@rabota.ua>"
b'7776',,BI Developer (Киев) (новые вакансии за 12.08.2019),"""rabota.ua"" <noreply@rabota.ua>"
b'7777',,[GitHub] Please reset your password,GitHub <noreply@github.com>
b'7778',,[GitHub] Please reset your password,GitHub <noreply@github.com>
b'7779',,[GitHub] Your password was reset,GitHub <noreply@github.com>
b'7780',,[GitHub] Please verify your device,GitHub <noreply@github.com>
b'7781',,"DOU Daily: как улучшить английский, релокация в Лондон, работа для junior C++",DOU <support@dou.ua>
b'7782',,Social media ABCs,Adobe Creative Cloud <mail@mail.adobe.com>
b'7783',,"Розсилка DOU #255: топ-50 ІТ-компаній України, зарплати ІТ-спеціалістів, релокація в Лондон і Люксембург",DOU <support@dou.ua>
b'7784',,Літній sale розпочався!,Kasta <modnakasta@mailman.modnakasta.ua>
b'7785',,Ваша заявка №257202758 принята,ROZETKA <sales@rozetka.com.ua>
b'7786',, ➡ ☣ Вигода до -55% на побутову хімію!,"""27.ua інтернет-гіпермаркет"" <promo@e-mail.27.ua>"
b'7787',,Ваш заказ 257202758 уже комплектуется,ROZETKA <bestdeal@rozetka.com.ua>
b'7788',,Дарим 100 гривен за видео распаковки вашего заказа!,ROZETKA <bestdeal@rozetka.com.ua>
b'7789',,Ваш запрос на добавление нового банковского счета рассматривается,Payoneer <NoReply@payoneer.com>
b'7790',,Ваш метод вывода средств был подтвержден!,Payoneer <NoReply@payoneer.com>
b'7791',,3 провальных ответа на собеседовании: не допустите этих ошибок Дайджест 364,"""Work.ua"" <website@work.ua>"
b'7792',,4 новые вакансии «Junior Data Analyst» в Киеве,"""Work.ua"" <website@work.ua>"
b'7793',,BI Developer (Киев) (новые вакансии за 13.08.2019),"""rabota.ua"" <noreply@rabota.ua>"
b'7794',,"PHP, Junior PHP developer (Киев) (новые вакансии за 13.08.2019)","""rabota.ua"" <noreply@rabota.ua>"
b'7795',,"Python, Middle Python, Junior python (Киев) (новые вакансии за 13.08.2019)","""rabota.ua"" <noreply@rabota.ua>"
b'7796',,R developer (Киев) (новые вакансии за 13.08.2019),"""rabota.ua"" <noreply@rabota.ua>"
b'7797',,Data analyst (Киев) (новые вакансии за 13.08.2019),"""rabota.ua"" <noreply@rabota.ua>"
b'7798',,"🚚 Ваш заказ: Подставка для ноутбука DeepCool Wind ..., ожидает в отделении «Нова Пошта»",ROZETKA <bestdeal@rozetka.com.ua>
b'7799',,Подходящие вакансии ,HeadHunter <no_reply@hh.ua>
b'7800',,"DOU Daily: корпоративная культура свободы, что побуждает использовать инновации, куда податься QA",DOU <support@dou.ua>
b'7801',,Інформація щодо Вашого платежу,ПриватБанк <info@pb.ua>
b'7802',,Ваш запрос на вывод средств получен,Payoneer <NoReply@payoneer.com>
b'7803',,DeFacto 🔥Футболки від 119 грн ✔️Сукні від 199 грн✔️,Kasta <modnakasta@mailman.modnakasta.ua>
b'7804',, ➡ Краща ціна на товари для консервації!,"""27.ua інтернет-гіпермаркет"" <promo@e-mail.27.ua>"
b'7805',,📲 Оновлення у роботі додатку Uber Eats: тепер ваш номер завжди приватний,Uber Eats <uber.ukraine@uber.com>
b'7806',,Гаражний SALE та знижки на цифрову техніку до -40%,Comfy <comfy@mailersend.comfy.ua>
b'7807',,Контролируйте поступления платежей,Payoneer <email@payoneer.com>
b'7808',,"Вакансия на должность «IT systems support specialist» в компании Procter & Gamble и ещё 9 вакансий, которые могут Вас заинтересовать.",LinkedIn <jobs-listings@linkedin.com>
b'7809',,5 самых популярных блогов,Tumblr <no-reply@tumblr.com>
b'7810',,All the top jobs for Junior Data. Hiring now!,Glassdoor <noreply@glassdoor.com>
b'7811',,9 новых вакансий «Junior Data Analyst» в Киеве,"""Work.ua"" <website@work.ua>"
b'7812',,"Tamara, Вы знакомы с участником Olena Balik (Kompaniiets)?",LinkedIn <messages-noreply@linkedin.com>
b'7813',,Data analyst (Киев) (новые вакансии за 14.08.2019),"""rabota.ua"" <noreply@rabota.ua>"
b'7814',,BI Developer (Киев) (новые вакансии за 14.08.2019),"""rabota.ua"" <noreply@rabota.ua>"
b'7815',,"Python, Middle Python, Junior python (Киев) (новые вакансии за 14.08.2019)","""rabota.ua"" <noreply@rabota.ua>"
b'7816',,"PHP, Junior PHP developer (Киев) (новые вакансии за 14.08.2019)","""rabota.ua"" <noreply@rabota.ua>"
b'7817',,R developer (Киев) (новые вакансии за 14.08.2019),"""rabota.ua"" <noreply@rabota.ua>"
b'7818',,Обновите резюме — появились новые вакансии!,HeadHunter <no_reply@hh.ua>
b'7819',,Компания IT-Star просмотрела ваш отклик на вакансию ,"""rabota.ua"" <noreply@rabota.ua>"
b'7820',,"DOU Daily: из QA — в Product Owner, Haxe и JavaScript, бум вакансий на Flutter",DOU <support@dou.ua>
b'7821',,Отримайте міжнародний атестат без відриву від української школи!,Міжнародна школа STUDY Academy <newslist@obuchenie.com.ua>
b'7822',,🔥BACK TO ОСІНЬ РОЗПОЧАТО🔥,Kasta <modnakasta@mailman.modnakasta.ua>
b'7823',,"Tamara, люди интересуются Вашим профилем в LinkedIn.",LinkedIn <messages-noreply@linkedin.com>
b'7824',,💣 Бомбезні знижки!  до -35% на 6000 книжок!,"""Yakaboo.ua"" <support@yakaboo.ua>"
b'7825',,Подходящие товары к вашей последней покупке,ROZETKA <bestdeal@rozetka.com.ua>
b'7826',,"Распродажи недели: платье Dorothy Perkins ZARA за 195 грн, кардиган ZARA за 430 грн + 979 вещей со скидками","""Shafa.ua"" <hello@shafa.com.ua>"
b'7827',, ➡ 🔥 Кращі акції серпня!,"""27.ua інтернет-гіпермаркет"" <promo@e-mail.27.ua>"
b'7828',,Находить вакансии по всей Украине стало проще,"""Work.ua"" <website@work.ua>"
b'7829',,Are You Paid Fairly?,Glassdoor Jobs <info@mail.glassdoor.com>
b'7830',,11 новых вакансий «Junior Data Analyst» в Киеве,"""Work.ua"" <website@work.ua>"
b'7831',,"Python, Middle Python, Junior python (Киев) (новые вакансии за 15.08.2019)","""rabota.ua"" <noreply@rabota.ua>"
b'7832',,"PHP, Junior PHP developer (Киев) (новые вакансии за 15.08.2019)","""rabota.ua"" <noreply@rabota.ua>"
b'7833',,R developer (Киев) (новые вакансии за 15.08.2019),"""rabota.ua"" <noreply@rabota.ua>"
b'7834',,Data analyst (Киев) (новые вакансии за 15.08.2019),"""rabota.ua"" <noreply@rabota.ua>"
b'7835',,BI Developer (Киев) (новые вакансии за 15.08.2019),"""rabota.ua"" <noreply@rabota.ua>"
b'7836',,Ваш профиль появлялся в результатах поиска 9 раз на этой неделе,LinkedIn <notifications-noreply@linkedin.com>
b'7837',,"DOU Daily: трансформация сервисной команды, сложности в работе product manager, Gradle",DOU <support@dou.ua>
b'7838',,🌟 Художня література зі знижками до -35%,"""Yakaboo.ua"" <support@yakaboo.ua>"
b'7839',,"Кажуть, дива не буває... та ми це зробили - Prego від 544 грн",Kasta <modnakasta@mailman.modnakasta.ua>
b'7840',,Суперцена на чипсы PRINGLES!,ROZETKA <bestdeal@rozetka.com.ua>
b'7841',,Цілодобово...🌗,Comfy <comfy@mailersend.comfy.ua>
b'7842',,"Вакансия на должность «Junior Data Analyst» в компании Wix.com и ещё 9 вакансий, которые могут Вас заинтересовать.",LinkedIn <jobs-listings@linkedin.com>
b'7843',, ➡ Злили ціни на побутову техніку до -50%,"""27.ua інтернет-гіпермаркет"" <promo@e-mail.27.ua>"
b'7844',,10 новых вакансий «Junior Data Analyst» в Киеве,"""Work.ua"" <website@work.ua>"
b'7845',,Data analyst (Киев) (новые вакансии за 16.08.2019),"""rabota.ua"" <noreply@rabota.ua>"
b'7846',,"Python, Middle Python, Junior python (Киев) (новые вакансии за 16.08.2019)","""rabota.ua"" <noreply@rabota.ua>"
b'7847',,"PHP, Junior PHP developer (Киев) (новые вакансии за 16.08.2019)","""rabota.ua"" <noreply@rabota.ua>"
b'7848',,R developer (Киев) (новые вакансии за 16.08.2019),"""rabota.ua"" <noreply@rabota.ua>"
b'7849',,Save 40% on Adobe Creative Cloud with our limited-time offer,Adobe Creative Cloud <mail@mail.adobe.com>
b'7850',,Розігруємо Samsung Galaxy Note 10!,Comfy <comfy@mailersend.comfy.ua>
b'7851',,"DOU Daily: serverless приложения на Python с Lambda и Flask, QA дайджест, работа джунов с сеньорами",DOU <support@dou.ua>
b'7852',,Кращі ціни та акції BACK TO ОСІНЬ вже на Kasta🍁,Kasta <modnakasta@mailman.modnakasta.ua>
b'7853',,Каждая ваша публикация будет выглядеть как картина. 🖌🖌 ,Canva <start@engage.canva.com>
b'7854',,"PHP, Junior PHP developer (Киев) (новые вакансии за 17.08.2019)","""rabota.ua"" <noreply@rabota.ua>"
b'7855',,ТОП-7 товарів для дому✨ВІД 19 грн💥,Kasta <modnakasta@mailman.modnakasta.ua>
b'7856',,You're in!  Deep Learning with Python and PyTorch - Share with a friend!,edX <info@edx.org>
b'7857',,How's Your Search Going?,Glassdoor Jobs <info@mail.glassdoor.com>
b'7858',,20+ новых вакансий «Junior Data Analyst» в Киеве за неделю,"""Work.ua"" <website@work.ua>"
b'7859',,"Урсол, давайте спробуємо щось нове!😋",Uber Eats <uber.ukraine@uber.com>
b'7860',,"DOU Daily: типажи менеджеров, Computer Vision Hackathon, язык Zig",DOU <support@dou.ua>
b'7861',,R developer (Киев): Еженедельный дайджест вакансий за 11.08.2019 - 18.08.2019,"""rabota.ua"" <noreply@rabota.ua>"
b'7862',,"PHP, Junior PHP developer (Киев): Еженедельный дайджест вакансий за 11.08.2019 - 18.08.2019","""rabota.ua"" <noreply@rabota.ua>"
b'7863',,"Python, Middle Python, Junior python (Киев): Еженедельный дайджест вакансий за 11.08.2019 - 18.08.2019","""rabota.ua"" <noreply@rabota.ua>"
b'7864',,BI Developer (Киев): Еженедельный дайджест вакансий за 11.08.2019 - 18.08.2019,"""rabota.ua"" <noreply@rabota.ua>"
b'7865',,Data analyst (Киев): Еженедельный дайджест вакансий за 11.08.2019 - 18.08.2019,"""rabota.ua"" <noreply@rabota.ua>"
b'7866',,Приглашение на собеседование,"""hr@itstardev.com"" <hr@itstardev.com>"
b'7867',,Crush the 🐛 ,Codecademy <learn@codecademy.com>
b'7868',,💪Ми вміємо вражати! Розпродаж від 19 грн,Kasta <modnakasta@mailman.modnakasta.ua>
b'7869',,Ми зробили це знову! Розпродаж книжок до -55%⚡,"""Yakaboo.ua"" <support@yakaboo.ua>"
b'7870',,Не упустите ни одной возможности установить контакт – загрузите приложение,Команда LinkedIn <messages-noreply@linkedin.com>
b'7871',, ➡ Вигода до -50% на посуд Vinzer!,"""27.ua інтернет-гіпермаркет"" <promo@e-mail.27.ua>"
b'7872',,🍇Техніка в кредит до 25 платежів  🍇В оплату частинами до 20 платежів,Comfy <comfy@mailersend.comfy.ua>
b'7873',,"Пуховик Puma за 380 грн, Рубашка PrettyLittleThing за 100 грн + 986 популярных вещей","""Shafa.ua"" <hello@shafa.com.ua>"
b'7874',,"Вакансия на должность «Business Administrator» в компании Siemens и ещё 9 вакансий, которые могут Вас заинтересовать.",LinkedIn <jobs-listings@linkedin.com>
b'7875',,8 новых вакансий «Junior Data Analyst» в Киеве,"""Work.ua"" <website@work.ua>"
b'7876',,Upcoming changes to our PayPal legal agreements,PayPal <paypal@mail.paypal.com>
b'7877',,Новинки категории Подставки и столики для ноутбуков,ROZETKA <bestdeal@rozetka.com.ua>
b'7878',,BI Developer (Киев) (новые вакансии за 19.08.2019),"""rabota.ua"" <noreply@rabota.ua>"
b'7879',,"DOU Daily: рейтинг школ, опрос о поиске работы, релокейт для РМ",DOU <support@dou.ua>
b'7880',,R developer (Киев) (новые вакансии за 19.08.2019),"""rabota.ua"" <noreply@rabota.ua>"
b'7881',,Data analyst (Киев) (новые вакансии за 19.08.2019),"""rabota.ua"" <noreply@rabota.ua>"
b'7882',,"Python, Middle Python, Junior python (Киев) (новые вакансии за 19.08.2019)","""rabota.ua"" <noreply@rabota.ua>"
b'7883',,"PHP, Junior PHP developer (Киев) (новые вакансии за 19.08.2019)","""rabota.ua"" <noreply@rabota.ua>"
b'7884',,"Social media made as easy as 1, 2, 3",Adobe Creative Cloud <mail@mail.adobe.com>
b'7885',,1000-чі фільмів і 100-ні телеканалів на MEGOGO безкоштовно!,"""Yakaboo.ua"" <support@yakaboo.ua>"
b'7886',,Unlimited creativity for less with Adobe Creative Cloud,Adobe Creative Cloud <mail@mail.adobe.com>
b'7887',, ➡ Вигода до -40% на електротовари!,"""27.ua інтернет-гіпермаркет"" <promo@e-mail.27.ua>"
b'7888',,Оставьте отзыв о купленном товаре: Подставка для ноутбука DeepCool Wind Pal Mini,ROZETKA <bestdeal@rozetka.com.ua>
b'7889',,Why choose between technical skills and soft skills?,edX <news@edx.org>
b'7890',,Предложение ограничено: улучшение аккаунта со скидкой 40%,Evernote Team <team@emails.evernote.com>
b'7891',,"9 признаков, что на работе вас не любят. Дайджест 365","""Work.ua"" <website@work.ua>"
b'7892',,IDC survey results on container adoption,Docker <goto@docker.com>
b'7893',,5 новых вакансий «Junior Data Analyst» в Киеве,"""Work.ua"" <website@work.ua>"
b'7894',,Оставьте отзыв о нашем сервисе,"""rabota.ua"" <noreply@rabota.ua>"
b'7895',,Keep learning in Deep Learning with Python and PyTorch,Deep Learning with Python and PyTorch <courses@edx.org>
b'7896',,Подходящие вакансии ,HeadHunter <no_reply@hh.ua>
b'7897',,Customer & Partner Experience (CPE) Relationship Measurement satisfaction survey,CEECMG <CEECMG@e-mail.microsoft.com>
b'7898',,"PHP, Junior PHP developer (Киев) (новые вакансии за 20.08.2019)","""rabota.ua"" <noreply@rabota.ua>"
b'7899',,BI Developer (Киев) (новые вакансии за 20.08.2019),"""rabota.ua"" <noreply@rabota.ua>"
b'7900',,"Python, Middle Python, Junior python (Киев) (новые вакансии за 20.08.2019)","""rabota.ua"" <noreply@rabota.ua>"
b'7901',,Data analyst (Киев) (новые вакансии за 20.08.2019),"""rabota.ua"" <noreply@rabota.ua>"
b'7902',,R developer (Киев) (новые вакансии за 20.08.2019),"""rabota.ua"" <noreply@rabota.ua>"
b'7903',,"DOU Daily: фотообзор рабочих мест, ML для мобильного разработчика, релокацию в Финляндию",DOU <support@dou.ua>
b'7904',,Станьте студентом канадського ВНЗ вже у 2020.,"""STUDY.UA"" <newslist@obuchenie.com.ua>"
b'7905',, ➡ 🔥 Вигода до -55% на МегаХіти!,"""27.ua інтернет-гіпермаркет"" <promo@e-mail.27.ua>"
b'7906',,Job Offer - IT-Star,"""hr@itstardev.com"" <hr@itstardev.com>"
b'7907',,Топ-20 книжок розпродажу!,"""Yakaboo.ua"" <support@yakaboo.ua>"
b'7908',,Всі на жнива!,Comfy <comfy@mailersend.comfy.ua>
b'7909',,"Tamara, добавьте меня в свою сеть контактов в LinkedIn!",Tania Baladynska <invitations@linkedin.com>
b'7910',,Applications open NOW for Boston University’s MBA program on edX!,edX <news@edx.org>
b'7911',,Ваше резюме успешно доставлено в компанию «Beetroot »,"""rabota.ua"" <noreply@rabota.ua>"
b'7912',,Ваше резюме успешно доставлено в компанию «SoftServe»,"""rabota.ua"" <noreply@rabota.ua>"
b'7913',,Ваше резюме успешно доставлено в компанию «Acino»,"""rabota.ua"" <noreply@rabota.ua>"
b'7914',,Tania sent you a new message,Tania Baladynska через LinkedIn <messaging-digest-noreply@linkedin.com>
b'7915',,Ваше резюме успешно доставлено в компанию «Mazars Ukraine»,"""rabota.ua"" <noreply@rabota.ua>"
b'7916',,"Вакансия на должность «Engineering Project Leader - Mechanical» в компании Procter & Gamble и ещё 9 вакансий, которые могут Вас заинтересовать.",LinkedIn <jobs-listings@linkedin.com>
b'7917',,Live Astronomy Q&A Session TOMORROW Thurs. August 22nd at 2PM,"""Astronomy: Exploring Time and Space Course Team"" <no-reply@t.mail.coursera.org>"
b'7918',,Обновления в наших Условиях обслуживания и Политике конфиденциальности,Dropbox <no-reply@dropboxmail.com>
b'7919',,Вам понравятся эти 5 блогов,Tumblr <no-reply@tumblr.com>
b'7920',,9 новых вакансий «Junior Data Analyst» в Киеве,"""Work.ua"" <website@work.ua>"
b'7921',,"Tamara, Вы знакомы с участником Sevil Suleimanova?",LinkedIn <messages-noreply@linkedin.com>
b'7922',,"PHP, Junior PHP developer (Киев) (новые вакансии за 21.08.2019)","""rabota.ua"" <noreply@rabota.ua>"
b'7923',,"Python, Middle Python, Junior python (Киев) (новые вакансии за 21.08.2019)","""rabota.ua"" <noreply@rabota.ua>"
